ID,Title,Author(s),Source,Journal,Language(s),Publication year,Fulltext URL 
S2179-975X2011000400007-scl,"Invertebrates associated to Eichhornea azurea Kunth in a lagoon of the Upper Paraná River: composition, community attributes and influence of abiotic factors","Batista-Silva, Valéria Flávia, Boneto, Daiane Dias, Bailly, Dayani, Abelha, Milza Celi Fedatto, Kashiwaqui, Elaine Antoniassi Luiz",Acta Limnologica Brasiliensia; 23(4); 376-385,Acta Limnologica Brasiliensia,Inglês,2011,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2011000400007&lang=pt 
S0001-37652012000400020-scl,"Toxicity of neem&#039;s oil, a potential biocide against the invasive mussel Limnoperna fortunei (Dunker 1857)","Pereyra, Patricio J., Rossini, Gustavo B., Darrigran, Gustavo",Anais da Academia Brasileira de Ciências; 84(4); 1065-1071,Anais da Academia Brasileira de Ciências,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652012000400020&lang=pt 
S1519-69842012000300017-scl,"Variations on the larval incubation of Anodontites trapesialis (Unionoida, Mycetopodidae): Synergetic effect of the environmental factors and host availability","Callil, CT., Krinski, D., Silva, FA.",Brazilian Journal of Biology; 72(3); 545-552,Brazilian Journal of Biology,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000300017&lang=pt 
S1980-993X2014000300004-scl,"First occurrence of the exotic Asian clam Corbicula fluminea (Muller, 1774) in the Jundiaí-Mirim River Basin, SP, Brazil","Beghelli, Frederico Guilherme de Souza, Pompêo, Marcelo Luiz Martins, Carlos, Viviane Moschini",Revista Ambiente &amp; Água; 9(3); 402-408,Revista Ambiente &amp; Água,Inglês,2014,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2014000300004&lang=pt 
S1519-69842012000100004-scl,"Grazing impacts of the invasive bivalve Limnoperna fortunei (Dunker, 1857) on single-celled, colonial and filamentous cyanobacteria","Gazulha, V, Mansur, MCD, Cybis, LF, Azevedo, SMFO",Brazilian Journal of Biology; 72(1); 33-39,Brazilian Journal of Biology,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000100004&lang=pt 
S1519-69842012000100005-scl,"Feeding behavior of the invasive bivalve Limnoperna fortunei (Dunker, 1857) under exposure to toxic cyanobacteria Microcystis aeruginosa","Gazulha, V, Mansur, MCD, Cybis, LF, Azevedo, SMFO",Brazilian Journal of Biology; 72(1); 41-49,Brazilian Journal of Biology,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000100005&lang=pt 
S0103-50532012000500009-scl,Assessment of inorganic contaminants in golden mussel (Limnoperna fortunei) in Southern Brazil,"Pereira, Éderson R., Soares, Bruno M., Vieira, João P., Mai, Ana C. G., Picoloto, Rochele S., Muller, Edson I., Flores, Erico M. M., Duarte, Fábio A.",Journal of the Brazilian Chemical Society; 23(5); 846-853,Journal of the Brazilian Chemical Society,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0103-50532012000500009&lang=pt 
S2179-975X2011000300007-scl,Density and body size of the larval stages of the invasive golden mussel (Limnoperna fortunei) in two neotropical rivers,"Eilers, Vivianne, Oliveira, Márcia Divina de, Roche, Kennedy Francis",Acta Limnologica Brasiliensia; 23(3); 282-292,Acta Limnologica Brasiliensia,Inglês,2011,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2011000300007&lang=pt 
S0100-40422012000300003-scl,"Uso do bivalve límnico Anodontites tenebricosus (LEA, 1834) no biomonitoramento de metais do Rio Ribeira de Iguape","Rodrigues, Valéria Guimarães Silvestre, Fujikawa, Aline, Abessa, Denis Moledo de Souza, Hortellani, Marcos Antonio, Sarkis, Jorge Eduardo Souza, Sígolo, Joel Barbujiani",Química Nova; 35(3); 454-459,Química Nova,Português,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422012000300003&lang=pt 
S1519-69842012010200003-scl,Do toxic cyanobacteria affect feeding and survival of the invasive bivalve golden mussel?,"Gazulha, Vanessa",Brazilian Journal of Biology; 72(1); -,Brazilian Journal of Biology,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012010200003&lang=pt 
S1519-69842012000200004-scl,Environmental influences on the composition and structure of the freshwater mussels in shallow lakes in the Cuiabá River floodplain,"Colle, AC., Callil, CT.",Brazilian Journal of Biology; 72(2); 249-256,Brazilian Journal of Biology,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842012000200004&lang=pt 
S0044-59672003000200317-scl,The occurrence of the Asian Clam Corbicula fluminea in the lowe amazon basin,"BEASLEY, Colin Robert, TAGLIARO, Claudia Helena, FIGUEIREDO, Wilsea Batista",Acta Amazonica; 33(2); 317-324,Acta Amazonica,Inglês,2003,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672003000200317&lang=pt 
S1519-69842015000100018-scl,"How the fluctuations of water levels affect populations of invasive bivalve Corbicula fluminea (Müller, 1774) in a Neotropical reservoir?","Paschoal, LRP., Andrade, DP., Darrigran, G.",Brazilian Journal of Biology; 75(1); 135-143,Brazilian Journal of Biology,Inglês,2015,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842015000100018&lang=pt 
S0001-37652014000301373-scl,The scientific literature on Limnoperna fortunei (Dunker 1857) from 1982 to 2012,"BARBOSA, FABIANA G.",Anais da Academia Brasileira de Ciências; 86(3); 1373-1384,Anais da Academia Brasileira de Ciências,Inglês,2014,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652014000301373&lang=pt 
S1519-69842011000100020-scl,"Embryonic development of Anodontites trapesialis (Lamarck, 1819) (Bivalvia: Mycetopodidae)","Silva-Souza, AT., Guardia-Felipi, P., Arrebola, NR.",Brazilian Journal of Biology; 71(1); 139-144,Brazilian Journal of Biology,Inglês,2011,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842011000100020&lang=pt 
S0073-47212010000400003-scl,Benthic macroinvertebrates as bioindicators of water quality in an Atlantic forest fragment,"Oliveira, Augusto, Callisto, Marcos",Iheringia. Série Zoologia; 100(4); 291-300,Iheringia. Série Zoologia,Inglês,2010,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212010000400003&lang=pt 
S0073-47212010000400007-scl,"Classes de comprimento e proporção sexual em Diplodon expansus (Mollusca, Bivalvia, Hyriidae) no rio Piraquara, Paraná, Brasil","Meyer, Ana A. N., Oliveira, Edinalva, Martim, Jessica",Iheringia. Série Zoologia; 100(4); 329-335,Iheringia. Série Zoologia,Português,2010,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212010000400007&lang=pt 
S0073-47212012000400002-scl,"Space-time variation of the relative abundance of Limnoperna fortunei in deep zones of São Gonçalo Channel, Rio Grande do Sul, Brazil","Lopes, Michelle, Vieira, João",Iheringia. Série Zoologia; 102(4); 370-374,Iheringia. Série Zoologia,Inglês,2012,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212012000400002&lang=pt 
S0100-40422013000300002-scl,Bioacumulação de metais pesados e nutrientes no mexilhão dourado do reservatório da Usina Hidrelétrica de Itaipu Binacional,"Marengoni, Nilton Garcia, Klosowski, Elcio Silvério, Oliveira, Katiane Pimenta de, Chambo, Ana Paula Sartorio, Gonçalves Junior, Affonso Celso",Química Nova; 36(3); 359-363,Química Nova,Português,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0100-40422013000300002&lang=pt 
S0073-47212013000100009-scl,Trophic relationships between macroinvertebrates and fish in a pampean lowland stream (Argentina),"López van Oosterom, María V., Ocón, Carolina S., Brancolini, Florencia, Maroñas, Miriam E., Sendra, Eduardo D., Rodrigues Capítulo, Alberto",Iheringia. Série Zoologia; 103(1); 57-65,Iheringia. Série Zoologia,Inglês,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212013000100009&lang=pt 
S1519-69842014000200509-scl,"Modelling the risk of mortality of Corbicula fluminea (Müller, 1774) (Bivalvia: Corbiculidae) exposed to different turbidity conditions","Avelar, WEP., Neves, FF., Lavrador, MAS.",Brazilian Journal of Biology; 74(2); 509-514,Brazilian Journal of Biology,Inglês,2014,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014000200509&lang=pt 
S1676-06032013000300213-scl,Diversidade de moluscos em riachos de uma região de encosta no extremo sul do Brasil,"Sá, Roger Lopes de, Santin, Luciani, Amaral, Aline Monique Blank do, Martello, Alcemar Rodrigues, Kotzian, Carla Bender",Biota Neotropica; 13(3); 213-221,Biota Neotropica,Português,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032013000300213&lang=pt 
S1676-06032013000400299-scl,"Diversity and distribution of mollusks along the Contas River in a tropical semiarid region (Caatinga), Northeastern Brazil","Kotzian, Carla Bender, Amaral, Aline Monique Blank do",Biota Neotropica; 13(4); 299-314,Biota Neotropica,Inglês,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032013000400299&lang=pt 
S1519-69842014003000023-scl,"Molecular markers for genetic diversity, gene flow and genetic population structure of freshwater mussel species","Choupina, AB, Martins, IM",Brazilian Journal of Biology; 74(3); s167-s170,Brazilian Journal of Biology,Inglês,2014,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842014003000023&lang=pt 
S0073-47212013000200001-scl,"Taxonomy, distribution and population structure of invasive Corbiculidae (Mollusca, Bivalvia) in the Suquía River basin, Córdoba, Argentina","Reyna, Paola B., Morán, Ariana G., Tatián, Marcos",Iheringia. Série Zoologia; 103(2); 77-84,Iheringia. Série Zoologia,Inglês,2013,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0073-47212013000200001&lang=pt 
S1676-06032017000300305-scl,"Freshwater mollusks and environmental assessment of Guandu River, Rio de Janeiro, Brazil","Miyahira, Igor Christo, Carneiro, Jéssica Beck, Gonçalves, Isabela Cristina Brito, Lacerda, Luiz Eduardo Macedo de, Oliveira, Jaqueline Lopes de, Vasconcelos, Mariana Castro de, Santos, Sonia Barbosa dos",Biota Neotropica; 17(3); -,Biota Neotropica,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032017000300305&lang=pt 
S1519-69842017000100191-scl,"Physiological response of invasive mussel Limnoperna fortunei (Dunker, 1857) (Bivalvia: Mytilidae) submitted to transport and experimental conditions","Cordeiro, N. I. S., Andrade, J. T. M., Montresor, L. C., Luz, D. M. R., Araújo, J. M., Martinez, C. B., Pinheiro, J., Vidigal, T. H. D. A.",Brazilian Journal of Biology; 77(1); 191-198,Brazilian Journal of Biology,Inglês,2017,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1519-69842017000100191&lang=pt 
S0044-59672020000100044-scl,"Morphology and distribution of the freshwater mussel Diplodon granosus, a rare and poorly understood species","MIYAHIRA, Igor Christo, MANSUR, Maria Cristina Dreher, PIMPÃO, Daniel Mansur, COUCEIRO, Sheyla Regina Marques, SANTOS, Sonia Barbosa dos",Acta Amazonica; 50(1); 44-53,Acta Amazonica,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0044-59672020000100044&lang=pt 
S0001-37652020000400709-scl,"Massive mortality of the giant freshwater mussel Anodontites trapesialis (Lamarck, 1819) (Bivalvia: Mycetopodidae) during a severe drought in a Neotropical reservoir","PASCHOAL, LUCAS R.P., ANDRADE, DOUGLAS P., PIMPÃO, DANIEL M., TORRES, SANTIAGO, DARRIGRAN, GUSTAVO",Anais da Academia Brasileira de Ciências; 92(); -,Anais da Academia Brasileira de Ciências,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37652020000400709&lang=pt 
S2179-975X2020000100703-scl,"First record of the Asian clam Corbicula fluminea (Müller, 1774) (Bivalvia: Cyrenidae) at Poxim-Açu River, northeastern Brazil","Rosa, Leonardo Cruz da, Dantas, José Oliveira",Acta Limnologica Brasiliensia; 32(); -,Acta Limnologica Brasiliensia,Inglês,2020,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2020000100703&lang=pt 
S2179-975X2021000100301-scl,Optimized and validated protocol to the detection of the invasive bivalve Limnoperna fortunei from eDNA plankton samples,"Ribolli, Josiane, Cassol, Sophia, Silva, Samara Hermes, Zaniboni Filho, Evoy, Zacchi, Flávia Lucena, Mattos, Jacó Joaquim, Cardoso, Grasiela Fagundes Minatto, Nuñer, Alex Pires de Oliveira",Acta Limnologica Brasiliensia; 33(); -,Acta Limnologica Brasiliensia,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S2179-975X2021000100301&lang=pt 
S1980-993X2021000300304-scl,"Freshwater mollusks as proxies for assessing agrochemicals hazards in Volta Grande Reservoir, Brazil","Sene, Andressa Mendes, Rosa, Daniel Melo, Gutierre, Silvia Maria Millan, Pompeu, Paulo Santos",Revista Ambiente &amp; Água; 16(3); -,Revista Ambiente &amp; Água,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1980-993X2021000300304&lang=pt 
S1676-06032021000300502-scl,Limnoperna fortunei - Updating the geographic distribution in the Brazilian watersheds and mapping the regional occurrence in the Upper Uruguay River basin,"Hermes-Silva, Samara, Ribolli, Josiane, Ávila-Simas, Sunshine de, Zaniboni-Filho, Evoy, Cardoso, Grasiela Fagundes Minatto, Nuñer, Alex Pires de Oliveira",Biota Neotropica; 21(3); -,Biota Neotropica,Inglês,2021,http://www.scielo.br/scielo.php?script=sci_arttext&pid=S1676-06032021000300502&lang=pt 
